cust,segment,vertical,sub_vertical,country,bookings,purchase
d66648938c68318a8dad17a77f0c8327,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,UNITED STATES,103356,FALSE
dcce1fa11f27a6a2c57c8aacf5f0219c,Commercial,Retail,Other (Retail),UNITED STATES,62952,TRUE
136b88d1b2aea8ae74cbfe111830af69,Commercial,Retail,Other (Retail),ITALY,2886,TRUE
674c6fcb90b5d29765f266007ad423e1,Enterprise,Retail,Other (Retail),UNITED STATES,80253,TRUE
97c72b3833ce8ef5154826fc128522b1,Commercial,Health Care,Providers,AUSTRALIA,29424,FALSE
14d74b8fd088cb2bc292446893a2189d,Commercial,Health Care,Providers,UNITED STATES,6256,FALSE
fdd0a579643182482cfa23ce2de8d096,Commercial,Health Care,Providers,UNITED STATES,37502,TRUE
f98ef83e7ccd038784e6272dab765f2d,Commercial,Health Care,Providers,UNITED STATES,9807,TRUE
94d5a96169915258a74723f186df29cb,Enterprise,Professional Services,Real Estate,UNITED STATES,3579,FALSE
8d1ace2a7a99f1342f27dfad7cd86a75,Enterprise,Professional Services,Real Estate,UNITED STATES,5646,FALSE
ddd4916d9616ad7f6787d736f86dd415,Commercial,Professional Services,Real Estate,UNITED STATES,16751,TRUE
3209868392f1e21d5525d8259beacc53,Commercial,Retail,Other (Retail),CANADA,81459,FALSE
d5e704488cfa70d7c58a7ed08a1e6fbb,Commercial,Retail,Other (Retail),UNITED STATES,2453,FALSE
5ba8670c52f157a0cc71fdd3dd1e7e49,Enterprise,Professional Services,Other (Professional Services),UNITED STATES,3278,FALSE
d0f76830a29567ddc93d19126a717075,Enterprise,Health Care,Providers,USA,2302,TRUE
46bc9dfcb28c9fc1b6544089fef79095,Commercial,Health Care,Providers,UNITED STATES,1117,FALSE
16b7b5d58cf02ce06c63cd25652e7f95,Commercial,Health Care,Providers,UNITED STATES,109828,FALSE
a37bbe1d2822f339d6ccf89e20cbeb0c,Commercial,Health Care,Providers,UNITED STATES,13596,FALSE
aa86febf1105d5fedf82204d007c7d3e,Commercial,Professional Services,Real Estate,AUSTRALIA,2032,FALSE
8304f840235592ac86a0ac217bfb7438,Commercial,Technical Services,Other (Technical Services),UNITED STATES,2096,FALSE
4824b513fdba7e66e78b8acb77ea8f20,Commercial,Technical Services,Other (Technical Services),ITALY,2778,FALSE
d68d16ea29dec404ea839ea1d2b78db1,Commercial,Technical Services,Other (Technical Services),USA,257540,FALSE
fd9a4ad6867d5d7becf57390ea3a211c,Commercial,Technical Services,Other (Technical Services),FRANCE,3526,FALSE
3dbf9097d27e28a73c196cb8d212d194,Commercial,Technical Services,Other (Technical Services),UNITED STATES,6511,TRUE
